RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,1429892,1387268,1444541,1531870,1633928,1707869,1759313,1784123,1773162,1752806,1695898,1598934,1510861,1462365,1509085,1575725,1668309,1740193,1784957,1795550,1776559,1746307,1672387,1555724,1451702,1401415,1427022,1414456,1435937,1434855,1459006,1428580,1382495,1341330,1262933,1153448,1058780,978030,965667,947716,984487,1015442
394913,1,"New York, NY",Msa,NY,69042,68613,73144,80093,86121,90670,92768,92251,90984,90154,87861,82599,77330,75081,78749,84579,91420,96069,97629,96100,94310,92272,88728,81657,75198,72729,74931,72589,70829,70443,76594,80524,81886,80920,77520,70859,64178,59849,59090,59749,61965,64426
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20099,19939,21904,23827,25795,27388,29086,30153,30693,30916,30391,28626,26994,26172,27481,28773,30455,31368,32054,31889,31344,30361,28313,25090,22321,21272,21824,21509,21934,22926,24971,25943,26327,26317,25251,22937,20682,19436,19923,20268,20734,20856
394463,3,"Chicago, IL",Msa,IL,42861,41185,44820,49383,53931,56308,58207,59180,59007,58260,55533,50746,46071,44297,47314,52299,57205,60379,61731,62212,61887,60848,57609,52166,47410,46039,47874,47777,48148,48674,51191,51826,50929,49661,46457,41614,37007,33328,32918,33253,35728,37875
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24279,23200,24340,26745,29535,31953,33914,35086,35139,34276,33038,31073,29605,28933,30482,32438,34869,37279,39340,40395,39823,38689,36943,34538,32330,31427,32112,32242,33218,33795,34681,33500,31422,30192,28512,26501,24084,21890,21482,21244,22255,22927
394974,5,"Philadelphia, PA",Msa,PA,26486,25046,26073,28354,30658,31825,31549,30705,29968,29843,29311,27799,26133,25035,26085,27855,29844,30954,31458,30936,30177,29197,27975,25778,23506,22389,22465,21285,20947,21102,22482,22612,21921,21400,20322,18558,16820,15467,15754,16387,17902,18918
394692,6,"Houston, TX",Msa,TX,33019,32177,33795,35857,38685,40364,41677,42119,41387,40356,38805,37156,36143,35833,37411,38982,41075,43287,45124,46157,45314,43980,42110,40178,38894,38702,39795,39904,40593,40394,40399,38703,36753,35206,33180,31006,29396,27883,27678,26554,26639,26578
395209,7,"Washington, DC",Msa,DC,22397,21113,22694,26066,29027,29207,27959,26443,26059,25897,25013,22690,19900,18231,19388,21761,24560,26056,26344,25498,24795,24312,23234,20668,18294,17316,18518,19009,19662,19335,19685,19357,19302,19297,18580,16717,14811,13591,14420,15847,18005,19308
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,60787,62401,65473,66753,67223,65689,64286,63178,62623,63137,63807,64291,65765,67724,70593,71109,70726,69136,67590,65846,64285,63721,63377,63003,63265,64028,65045,62953,61704,60983,61584,60759,59643,59257,58270,56715,54979,51413,47442,42263,39514,37141
394347,9,"Atlanta, GA",Msa,GA,29769,28646,29757,31144,32766,34280,35775,36852,36649,36176,35083,33469,32171,32928,34623,36307,37293,38968,40356,41148,41079,40808,39511,37447,35774,35125,36119,36439,37736,37914,37845,36287,34308,32900,30774,28388,26357,24470,23961,22861,23080,23580
394404,10,"Boston, MA",Msa,MA,10522,9498,10076,11705,14005,15878,16761,16634,16762,17171,16912,15075,13041,11862,12645,14132,16422,17975,18350,17499,17089,17123,16507,14117,11627,10543,11213,11524,12405,13348,14626,14817,14681,14595,13728,11619,9511,8303,8839,9823,10919,11526
395057,11,"San Francisco, CA",Msa,CA,4457,4276,5249,6326,7344,7893,8169,8165,8449,8894,8785,7632,6389,5990,6779,7818,8822,9349,9510,9178,9178,9205,8705,7105,5576,5206,5748,5973,6514,7308,8594,9195,9599,9996,9626,8358,6899,6443,7033,7704,8146,8406
394532,12,"Detroit, MI",Msa,MI,15174,13992,14231,15176,16887,18489,19941,21197,21795,21972,21144,19636,18070,16830,16854,17405,18932,20592,22176,23340,23878,23874,22754,20802,18845,17576,17129,15653,16108,16781,18551,18496,17941,17336,15938,14144,12433,11124,10941,10983,11939,12953
395025,13,"Riverside, CA",Msa,CA,17518,17631,18613,19476,20302,20945,21614,21941,22036,22098,21965,21285,20731,20303,20876,21223,21626,21677,21669,21639,21355,21098,20355,19149,18077,17454,17410,16697,16436,16011,15696,14842,14158,13960,13339,12245,11079,10301,10331,10327,10774,11184
394976,14,"Phoenix, AZ",Msa,AZ,25667,25891,27491,28521,28930,28322,27100,26085,25363,25596,25800,25517,25891,26685,28778,29808,30259,29471,27911,26279,24864,24482,23922,22908,22145,22000,23121,23387,23676,23003,22261,21276,20940,21504,21381,20147,18404,17274,17208,17362,17635,17818
395078,15,"Seattle, WA",Msa,WA,7734,6790,7391,8428,10380,12041,13500,14266,14860,15091,14402,12495,10770,9507,10080,10919,12970,14489,15507,15334,14682,13798,12197,9850,7937,7166,7868,8518,9478,10087,11043,11732,12090,12074,10881,9088,7490,6782,7464,8284,9389,9989
394865,16,"Minneapolis-St Paul, MN",Msa,MN,10331,9547,10347,11751,13570,15111,16214,16723,16714,16444,15251,13255,11324,10226,10609,11838,13869,15914,17197,17645,17493,17206,16067,13987,11909,10974,11734,12559,13654,14115,14756,14816,14704,14520,13310,11363,9483,8602,8982,9770,10891,11914
395056,17,"San Diego, CA",Msa,CA,6451,6401,7122,7905,8706,9260,9827,10274,10551,10612,10383,9754,9208,8866,9223,9557,10064,10386,10654,10672,10379,9947,9148,8128,7325,7019,7281,7259,7495,7613,7937,7882,7739,7610,7133,6387,5611,5237,5431,5632,5999,6315
395121,18,"St. Louis, MO",Msa,MO,12943,12336,12816,13632,14634,15295,15762,15977,15813,15643,15010,13969,12683,11732,11961,12649,13670,14254,14539,14598,14550,14580,14223,13239,12079,11328,11568,11498,11622,11361,11540,11385,11276,11197,10716,9767,8848,7901,7722,7655,8209,8594
395148,19,"Tampa, FL",Msa,FL,18205,18482,19633,20384,20943,20925,20539,20247,19906,19961,20034,19911,20273,20742,21700,21587,21357,21106,21046,20830,20290,20032,19696,19021,18739,18765,19390,18931,18823,18143,17683,16592,15714,15498,15052,14484,13738,12957,12494,11655,11424,11329
394358,20,"Baltimore, MD",Msa,MD,12983,12297,12794,13981,15221,15624,15376,14944,14689,14563,14172,13353,12344,11589,12049,13081,14377,15141,15384,15187,14907,14682,14103,12881,11598,10898,11057,10899,10984,10722,10739,10324,10031,9849,9306,8309,7322,6622,6676,7050,7872,8444
394530,21,"Denver, CO",Msa,CO,10679,10092,11218,12689,14485,16116,17109,17671,17733,17759,17028,15211,13701,12942,13867,15151,17212,19053,20149,20435,20100,19500,17703,14993,12772,11749,12669,13167,15029,16045,17211,16712,15790,14929,13139,10929,8827,7236,6780,6618,7336,8094
394982,22,"Pittsburgh, PA",Msa,PA,10736,10187,10342,10774,11386,11903,12204,12279,11990,11726,11231,10520,9792,9303,9467,9801,10353,10748,10821,10742,10604,10608,10314,9624,9001,8621,8491,7827,7934,8303,9050,8972,8783,8479,7916,6934,6201,5576,5545,5599,6102,6467
394998,23,"Portland, OR",Msa,OR,7670,7009,7312,8088,9352,10597,11530,12130,12339,12209,11561,10398,9424,8773,9084,9653,10852,11845,12596,12793,12644,12140,11157,9702,8576,7977,8426,8779,9532,9827,10273,10234,9878,9478,8520,7389,6346,5762,6013,6302,7011,7468
394458,24,"Charlotte, NC",Msa,NC,8956,8788,9664,10461,11276,11612,11993,12170,11910,11664,11150,10453,9918,9746,10696,11367,12276,12714,13302,13420,13282,13112,12494,11434,10544,10144,10622,10592,10968,10623,10399,9746,9325,9157,8667,7917,7325,6941,7035,6871,7046,7254
395045,25,"Sacramento, CA",Msa,CA,5744,5399,5831,6506,7447,8211,8780,9162,9285,9311,8820,7936,7061,6481,6584,7018,7823,8579,9097,9357,9318,9031,8253,7129,6237,5894,6188,6392,6825,7150,7378,7158,6844,6712,6239,5440,4486,3983,4135,4525,4997,
395055,26,"San Antonio, TX",Msa,TX,11434,11298,11983,12827,13544,14005,14363,14607,14392,14006,13534,13087,12832,12745,13449,14208,15053,15860,16607,17065,16902,16577,16037,15436,14901,14804,15148,15187,15468,15480,15466,14855,14068,13570,12771,11858,10923,9833,9260,8555,8639,8522
394943,27,"Orlando, FL",Msa,FL,12233,12244,12846,13290,13755,13917,13947,14026,14079,14195,14084,13772,13684,13808,14394,14570,14736,14903,15065,14994,14580,14379,14093,13606,13183,13061,13332,13085,13241,13340,13668,13473,13131,13053,12646,12094,11587,11021,10764,9910,9593,9256
394466,28,"Cincinnati, OH",Msa,OH,8054,7669,7880,8289,8999,9507,10025,10250,10328,10261,9911,9235,8538,8028,8154,8463,8969,9427,9703,9828,9772,9626,9181,8356,7675,7197,7246,7128,7339,7422,7573,7459,7279,7125,6709,6108,5584,5050,4986,4870,5228,5470
394475,29,"Cleveland, OH",Msa,OH,12007,11369,11701,12433,13436,14171,14721,14907,14777,14387,13739,12724,11672,11055,11375,12118,13146,13946,14530,14724,14604,14301,13575,12509,11279,10436,10294,10023,10026,9953,10322,10520,10485,10234,9577,8547,7666,6317,5550,4885,5281,5746
394735,30,"Kansas City, MO",Msa,MO,9268,8817,9211,10019,11149,12174,12658,12814,12428,11808,10875,9708,9049,8592,8831,9340,10021,10450,10647,10718,10667,10544,10091,9235,8326,7773,7851,7834,8040,8005,8058,7788,7522,7461,7097,6521,5820,5189,5154,5350,5975,6455
394775,31,"Las Vegas, NV",Msa,NV,12006,11834,12376,12955,12188,11184,11259,11719,12380,11999,12331,12169,12327,12638,13543,14050,14679,15012,15255,15200,14891,14526,13789,12762,11888,11269,11244,11115,11526,11806,12087,12070,12040,12090,11627,10809,9716,8767,8125,7679,7645,7804
394492,32,"Columbus, OH",Msa,OH,5311,4899,5073,5484,6243,6872,7413,7703,7698,7624,7206,6549,5856,5344,5465,5700,6341,6853,7313,7512,7532,7494,7119,6461,5809,5334,5355,5310,5509,5572,5739,5724,5656,5713,5463,4985,4390,3964,3973,4078,4535,4938
394705,33,"Indianapolis, IN",Msa,IN,7261,6807,7148,7540,7859,8036,8314,8744,8837,8918,8645,8076,7398,6881,6988,7267,7866,8414,8903,9239,9373,9410,9050,8349,7657,7176,7147,6935,7024,6954,7024,6873,6858,7056,6951,6442,5801,5211,5174,5229,5666,6000
395059,34,"San Jose, CA",Msa,CA,1303,1317,1686,2089,2509,2746,2952,3027,3165,3275,3181,2747,2318,2209,2530,2948,3377,3657,3783,3674,3549,3399,3041,2432,1900,1796,2010,2159,2403,2658,2993,3099,3182,3284,3144,2757,2352,2270,2589,2894,3124,3173
394355,35,"Austin, TX",Msa,TX,7140,6801,7323,8221,9240,9957,10336,10409,10117,9786,9330,8787,8236,7894,8215,8748,9416,10089,10563,10809,10627,10313,9710,8801,8130,7817,8195,8465,9130,9375,9540,9052,8523,8351,7934,7374,6444,5799,6063,6688,7759,8356
395194,36,"Virginia Beach, VA",Msa,VA,11855,11474,11789,12469,13257,13781,13957,13859,13376,12998,12490,11871,11344,11061,11447,12008,12703,13104,13197,13002,12588,12086,11408,10606,9945,9681,10007,10158,10310,10081,9913,9529,9165,8865,8487,7879,7251,6624,6537,6827,7454,7880
394902,37,"Nashville, TN",Msa,TN,8697,8394,8780,9463,10305,11043,11576,11977,12070,12148,11977,11514,11063,10740,11007,11456,12178,12843,13437,13612,13591,13516,13176,12456,11604,11179,11341,11469,11996,12361,12701,12444,11861,11331,10601,9704,,,,,,
395005,38,"Providence, RI",Msa,RI,5987,5459,5439,5898,6631,7391,7932,8230,8334,8378,8084,7431,6634,6112,6118,6474,7092,7598,7819,7817,7801,7794,7456,6786,6076,5640,5595,5465,5544,5590,5822,5814,5716,5575,5272,4724,4150,3447,3176,2981,3245,3436
394862,39,"Milwaukee, WI",Msa,WI,4156,3843,3996,4413,5020,5367,5561,5514,5459,5379,5114,4685,4152,3779,3745,3850,4164,4459,4719,4807,4795,4719,4436,3996,3485,3277,3402,3612,3814,3989,4271,4527,4662,4704,4477,3980,3363,2903,2876,3155,3820,4743
394714,40,"Jacksonville, FL",Msa,FL,9776,10023,10826,11613,12149,12440,12682,12789,12655,12427,12136,11651,11433,11485,12172,12902,13377,13659,13529,13338,12884,12655,12303,11894,11506,11570,12036,12054,12050,11620,11283,10582,9855,9336,8766,8228,7683,7029,6661,6342,6419,6489
394849,41,"Memphis, TN",Msa,TN,5729,5562,5673,5894,6215,6513,6797,6960,6920,6780,6510,6283,6092,6029,6169,6245,6329,6327,6387,6410,6341,6249,6027,5706,5418,5200,5179,5079,5113,4976,4870,4627,4447,4265,4046,3727,3430,3188,3260,3395,3707,3955
394935,42,"Oklahoma City, OK",Msa,OK,8423,8165,8350,8563,8964,9175,9302,9255,9038,8741,8436,8007,7600,7198,7183,7389,7675,8003,8207,8416,8288,8047,7640,7193,6867,6660,6745,6706,6942,6965,6981,6702,6411,6158,5717,5192,4728,4258,4223,4090,4275,4369
394807,43,"Louisville-Jefferson County, KY",Msa,KY,4490,4302,4489,4726,5044,5390,5762,5984,6015,6031,5934,5634,5292,4991,5083,5217,5510,5727,5930,6033,6086,6106,5941,5472,5051,4749,4732,4580,4600,4528,4515,4345,4252,4272,4186,3941,3634,3302,3258,3212,3422,3567
